Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC
Adaboost,0.8040570258251107,0.6595370370370369,0.5435779816513762,0.5947503523541608,0.8466104671770326
Voting Classifier,0.7985818328290928,0.6187130342097901,0.6269113149847095,0.6224681075937726,0.8463927028286954
Gradient Boost,0.8034492469465436,0.6643278434780785,0.5237003058103976,0.5853084792012262,0.8441093315062767
Logistic Regression,0.7472608609160049,0.5154833929830701,0.808868501529052,0.6294267425433334,0.8431559630468713
Random Forest,0.7959447512339454,0.6556977037068134,0.48547400611620795,0.5577458528026421,0.8283401444529912
Kernel SVM,0.7438123790921104,0.5116577222409654,0.7844036697247706,0.6190615446155187,0.8281004063321614
Naive Bayes,0.6951314505392633,0.45957133118358695,0.8463302752293577,0.5956332308713369,0.8213277149521648
K-Nearest Neighbours,0.7833666285092598,0.5969160314634777,0.565749235474006,0.5807003714975951,0.820451610989667
SVM (Linear),0.7048688703186218,0.4686358875789158,0.8371559633027523,0.6008812306494966,0.8168370135047565
Decision Tree,0.7162247713147126,0.47839720527719237,0.756880733944954,0.5860317536885935,0.8050885142693202
