Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC
Adaboost,0.8040570258251107,0.6595370370370369,0.5435779816513762,0.5947503523541608,0.8466104671770326,0.795551348793185,0.6411378555798687,0.5222816399286988,0.5756385068762279,0.8427387121671537
Voting Classifier,0.7985818328290928,0.6187130342097901,0.6269113149847095,0.6224681075937726,0.8463927028286954,0.7941315664931378,0.6109154929577465,0.6185383244206774,0.6147032772364924,0.8415895997574288
Gradient Boost,0.8034492469465436,0.6643278434780785,0.5237003058103976,0.5853084792012262,0.8441093315062767,0.79649787032655,0.6541176470588236,0.49554367201426025,0.563894523326572,0.8402440873256519
Logistic Regression,0.7472608609160049,0.5154833929830701,0.808868501529052,0.6294267425433334,0.8431559630468713,0.7434926644581165,0.5108571428571429,0.7967914438502673,0.6225626740947076,0.8444253404267048
Random Forest,0.7959447512339454,0.6556977037068134,0.48547400611620795,0.5577458528026421,0.8283401444529912,0.7789872219592996,0.6068181818181818,0.47593582887700536,0.5334665334665335,0.8146983020012128
Kernel SVM,0.7438123790921104,0.5116577222409654,0.7844036697247706,0.6190615446155187,0.8281004063321614,0.7444391859914813,0.5122235157159488,0.7843137254901961,0.6197183098591549,0.8209423296028815
Naive Bayes,0.6951314505392633,0.45957133118358695,0.8463302752293577,0.5956332308713369,0.8213277149521648,0.6914339801230478,0.45595353339787026,0.839572192513369,0.5909661229611042,0.8073723514710477
K-Nearest Neighbours,0.7833666285092598,0.5969160314634777,0.565749235474006,0.5807003714975951,0.820451610989667,0.7737813535257927,0.5747747747747748,0.5686274509803921,0.5716845878136201,0.8194877060477425
SVM (Linear),0.7048688703186218,0.4686358875789158,0.8371559633027523,0.6008812306494966,0.8168370135047565,0.6909607193563654,0.4546351084812623,0.82174688057041,0.5853968253968254,0.8179251199073818
Decision Tree,0.7162247713147126,0.47839720527719237,0.756880733944954,0.5860317536885935,0.8050885142693202,0.7415996213913867,0.5089820359281437,0.7575757575757576,0.6088825214899714,0.8177338883069629
